,TransactionAmount,ip_transactions_per_day,ips_per_acc,location_freq,Channel_Branch,Channel_Online,TransactionType_Debit,is_proxy
0,-0.9712754695068417,-0.1642645095836249,0.3949500495407011,-0.028446402356390392,0.0,0.0,1.0,0.0
1,0.2694396064236744,-0.1642645095836249,0.3949500495407011,0.5983725688651194,0.0,0.0,1.0,0.0
2,-0.5868816229808057,-0.1642645095836249,-0.9361517274444162,0.2849630832543645,0.0,1.0,1.0,0.0
3,-0.38745590278222686,-0.1642645095836249,0.8386506418690736,-0.028446402356390392,0.0,1.0,1.0,0.0
4,-0.9734680903782914,-0.1642645095836249,-0.04875054278767131,0.2849630832543645,0.0,1.0,0.0,0.0
5,-0.7038442425922038,-0.1642645095836249,0.8386506418690736,1.3818962828920065,0.0,0.0,1.0,0.0
6,-0.9952915199894398,-0.1642645095836249,-2.2672535044295334,0.2849630832543645,0.0,0.0,0.0,0.0
7,-0.43226759184248137,-0.1642645095836249,0.3949500495407011,-0.18515114516176784,1.0,0.0,0.0,0.0
8,-0.6556065834203091,-0.1642645095836249,-1.823552912101161,0.5983725688651194,1.0,0.0,0.0,0.0
9,1.7759071839141245,-0.1642645095836249,0.3949500495407011,-0.6552653735779002,0.0,0.0,1.0,0.0
10,-0.958633639794889,-0.1642645095836249,0.3949500495407011,-2.8491317728531844,0.0,1.0,0.0,0.0
11,-0.3685445477659726,-0.1642645095836249,0.3949500495407011,0.5983725688651194,0.0,1.0,1.0,0.0
12,0.674663351228483,-0.1642645095836249,-1.3798523197727885,0.2849630832543645,1.0,0.0,0.0,0.0
13,1.658739006096028,-0.1642645095836249,-0.04875054278767131,0.5983725688651194,0.0,0.0,1.0,0.0
14,-0.4474446394370476,-0.1642645095836249,-0.04875054278767131,-1.28208434479941,0.0,1.0,1.0,0.0
15,0.575070400083101,-0.1642645095836249,-1.823552912101161,0.4416678260597419,0.0,0.0,1.0,0.0
16,0.8846067996697973,-0.1642645095836249,0.3949500495407011,-0.028446402356390392,1.0,0.0,0.0,0.0
17,0.669216058750975,-0.1642645095836249,-0.04875054278767131,-0.8119701163832775,0.0,1.0,1.0,0.0
18,-0.9555502666944129,-0.1642645095836249,1.282351234197446,-2.8491317728531844,1.0,0.0,0.0,0.0
19,-0.7746590447998077,-0.1642645095836249,0.3949500495407011,-0.8119701163832775,0.0,1.0,0.0,0.0
20,-0.8163188413573532,-0.1642645095836249,0.3949500495407011,1.5386010256973839,1.0,0.0,1.0,0.0
21,-0.7257019319044686,-0.1642645095836249,1.282351234197446,-0.6552653735779002,1.0,0.0,1.0,0.0
22,-0.8407117485522317,-0.1642645095836249,0.8386506418690736,0.2849630832543645,0.0,1.0,1.0,0.0
23,0.16529011502981078,-0.1642645095836249,1.282351234197446,1.6953057685027615,0.0,1.0,1.0,0.0
